t=04300 | eps=0.071 | r=0.475 | r_ma=0.467 | H=1.15
t=04350 | eps=0.070 | r=0.475 | r_ma=0.467 | H=1.14
t=04400 | eps=0.068 | r=0.429 | r_ma=0.469 | H=1.14
t=04450 | eps=0.067 | r=0.475 | r_ma=0.469 | H=1.13
t=04500 | eps=0.065 | r=0.475 | r_ma=0.469 | H=1.13
t=04550 | eps=0.064 | r=0.475 | r_ma=0.467 | H=1.13
t=04600 | eps=0.062 | r=0.475 | r_ma=0.464 | H=1.13
t=04650 | eps=0.060 | r=0.475 | r_ma=0.465 | H=1.13
t=04700 | eps=0.059 | r=0.475 | r_ma=0.466 | H=1.12
t=04750 | eps=0.058 | r=0.475 | r_ma=0.468 | H=1.12
t=04800 | eps=0.056 | r=0.475 | r_ma=0.469 | H=1.11
t=04850 | eps=0.055 | r=0.475 | r_ma=0.469 | H=1.10
t=04900 | eps=0.053 | r=0.475 | r_ma=0.469 | H=1.09
t=04950 | eps=0.052 | r=0.475 | r_ma=0.471 | H=1.08
t=05000 | eps=0.050 | r=0.475 | r_ma=0.472 | H=1.08
t=05050 | eps=0.050 | r=0.475 | r_ma=0.470 | H=1.08
t=05100 | eps=0.050 | r=0.475 | r_ma=0.469 | H=1.07
t=05150 | eps=0.050 | r=0.475 | r_ma=0.466 | H=1.07
t=05200 | eps=0.050 | r=0.475 | r_ma=0.468 | H=1.06
t=05250 | eps=0.050 | r=0.475 | r_ma=0.470 | H=1.05
t=05300 | eps=0.050 | r=0.475 | r_ma=0.468 | H=1.05
t=05350 | eps=0.050 | r=0.475 | r_ma=0.471 | H=1.04
t=05400 | eps=0.050 | r=0.475 | r_ma=0.470 | H=1.04
t=05450 | eps=0.050 | r=0.475 | r_ma=0.470 | H=1.03
t=05500 | eps=0.050 | r=0.475 | r_ma=0.473 | H=1.03
t=05550 | eps=0.050 | r=0.475 | r_ma=0.471 | H=1.02
t=05600 | eps=0.050 | r=0.475 | r_ma=0.469 | H=1.02
t=05650 | eps=0.050 | r=0.475 | r_ma=0.469 | H=1.01
t=05700 | eps=0.050 | r=0.475 | r_ma=0.467 | H=1.01
t=05750 | eps=0.050 | r=0.475 | r_ma=0.469 | H=1.01
t=05800 | eps=0.050 | r=0.475 | r_ma=0.472 | H=1.00
t=05850 | eps=0.050 | r=0.475 | r_ma=0.471 | H=1.00
t=05900 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.99
t=05950 | eps=0.050 | r=0.475 | r_ma=0.467 | H=0.99
t=06000 | eps=0.050 | r=0.475 | r_ma=0.466 | H=0.99
t=06050 | eps=0.050 | r=0.475 | r_ma=0.468 | H=0.98
t=06100 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.98
t=06150 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.98
t=06200 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.98
t=06250 | eps=0.050 | r=0.475 | r_ma=0.469 | H=0.97
t=06300 | eps=0.050 | r=0.475 | r_ma=0.468 | H=0.97
t=06350 | eps=0.050 | r=0.475 | r_ma=0.470 | H=0.96
